"","K","green","red","NIR","catch_area","GC","HC","ECa0.375","ECa0.75","VC","elevation","slope","SPI","swir1","swir2","fields","SC","TWI","x","y"
"1",7.5,1.22564303874969,1.00879216194153,0.862152516841888,428.560424804688,-0.00720616849139333,-0.0189123041927814,-68.2953109741211,-16.7077789306641,-0.00187484559137374,734,0.0445664152503014,19.1120567321777,0.770859837532043,0.782333016395569,5,5,8.9360408782959,837441.576,7584372.557
"2",3.7,1.19408524036407,0.977505087852478,0.813577771186829,426.425109863281,0.00184209167491645,-0.0233440119773149,-81.6565628051758,-18.3804779052734,0.00256260950118303,736.858276367188,0.0620992593467236,26.5147743225098,0.696489274501801,0.701841533184052,4,5,7.82007265090942,837540.509,7584376.452
"3",5.4,1.13667023181915,0.932723939418793,0.743975281715393,415.040496826172,0.00225146464072168,0.0062640467658639,-84.8976440429688,-19.3024559020996,0.000768691359553486,740.012451171875,0.0554312132298946,23.0297908782959,0.615991532802582,0.621471583843231,4,4,8.0468053817749,837639.442,7584380.348
"4",5.4,1.12714123725891,0.918560326099396,0.730960726737976,239.273452758789,0.00225697923451662,0,-86.1587600708008,-19.711124420166,0.00112578668631613,742.40576171875,0.0399786867201328,9.57093811035156,0.595702111721039,0.60245668888092,4,4,8.60166931152344,837738.374,7584384.243
"5",3.9,1.1082683801651,0.888942539691925,0.707025706768036,309.934936523438,-0.00369633757509291,-0.028192512691021,-87.8277587890625,-20.263744354248,-0.000252148252911866,745.289611816406,0.0555360689759254,17.2302856445312,0.556258499622345,0.561251878738403,4,4,7.94101142883301,837837.307,7584388.138
"6",7.1,1.10207152366638,0.892087578773499,0.704527795314789,640.245361328125,-0.0214533284306526,-0.0478894859552383,-86.6536483764648,-19.6936817169189,-0.0063855261541903,743.715576171875,0.0870353132486343,55.8650894165039,0.541804552078247,0.549971342086792,4,4,7.3215651512146,837936.239,7584392.034
"7",4.9,1.22287714481354,1.00592339038849,0.851231634616852,526.197204589844,0.00397682934999466,0.0174330938607454,-75.3665466308594,-15.7637882232666,0.00139396649319679,735.054077148438,0.0633973702788353,33.4042816162109,0.76257061958313,0.770389974117279,5,5,8.21139526367188,837440.901,7584273.627
"8",5.3,1.17409718036652,0.960694313049316,0.786874294281006,405.69970703125,0.00122100918088108,0.00762671418488026,-87.3310165405273,-18.2672309875488,-0.000575408863369375,744.04931640625,0.0977740213274956,39.7937774658203,0.676673054695129,0.681515157222748,4,4,7.05279922485352,837643.337,7584281.415
"9",6.3,1.14543056488037,0.924071907997131,0.730694472789764,156.25,0.00527151022106409,0,-83.7283935546875,-18.6770515441895,0.00262944190762937,747,0.0164646916091442,2.57284069061279,0.589525163173676,0.596155345439911,4,4,9.87691688537598,837841.202,7584289.206
"10",6.9,1.29060232639313,1.0603883266449,0.915631294250488,423.152160644531,0.00590493762865663,0.00208366196602583,-37.1375122070312,-6.93093204498291,0.00295671843923628,732.690063476562,0.0822789147496223,34.8952789306641,0.847608804702759,0.860368549823761,5,7,7.40958642959595,837350.434,7584170.795
